Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
loss,Tony Sylvester,Alistair Overeem,0,14,0,0,0,1,0,0,Ultimate Glory 11: A Decade of Fights,Oct. 17  2009,SUB,Guillotine Choke,1,01:23,
loss,Tim Sylvia,Fedor Emelianenko,0,15,0,0,0,1,0,1,Affliction - Banned,Jul. 19  2008,SUB,Rear Naked Choke,1,00:36,
loss,Tim Sylvia,Minotauro Nogueira,53,28,0,2,0,1,2,1,UFC 81: Breaking Point,Feb. 02  2008,SUB,Guillotine Choke,3,01:28,
win,Tim Sylvia,Brandon Vera,68,58,0,1,0,0,0,1,UFC 77: Hostile Territory,Oct. 20  2007,U-DEC,,3,05:00,
loss,Tim Sylvia,Randy Couture,25,73,0,7,0,0,0,7,UFC 68: The Uprising,Mar. 03  2007,U-DEC,,5,05:00,
win,Tim Sylvia,Jeff Monson,49,12,0,1,1,2,1,2,UFC 65: Bad Intentions,Nov. 18  2006,U-DEC,,5,05:00,
win,Tim Sylvia,Andrei Arlovski,97,66,0,0,0,0,0,0,UFC 61: Bitter Rivals,Jul. 08  2006,U-DEC,,5,05:00,
win,Tim Sylvia,Andrei Arlovski,13,11,0,0,0,0,0,0,UFC 59: Reality Check,Apr. 15  2006,KO/TKO,Punch,1,02:43,
win,Tim Sylvia,Assuerio Silva,85,36,0,0,0,0,0,0,UFC Fight Night 3,Jan. 16  2006,U-DEC,,3,05:00,
win,Tim Sylvia,Tra Telligman,31,13,0,0,0,0,0,0,UFC 54: Boiling Point,Aug. 20  2005,KO/TKO,Kick,1,04:59,
loss,Tim Sylvia,Andrei Arlovski,2,5,0,0,0,2,0,0,UFC 51: Super Saturday,Feb. 05  2005,SUB,Ankle Lock,1,00:47,
loss,Tim Sylvia,Frank Mir,2,3,1,0,0,1,0,0,UFC 48: Payback,Jun. 19  2004,SUB,Armbar,1,00:50,
win,Tim Sylvia,Gan McGee,10,7,0,0,0,0,0,0,UFC 44: Undisputed,Sep. 26  2003,KO/TKO,Punch,1,01:54,
win,Tim Sylvia,Ricco Rodriguez,12,7,0,0,0,1,0,0,UFC 41: Onslaught,Feb. 28  2003,KO/TKO,Punch,1,03:09,
win,Tim Sylvia,Wesley Correira,138,26,0,0,0,0,0,0,UFC 39: The Warriors Return,Sep. 27  2002,KO/TKO,,2,01:43,
